data,reunião_dia,Depoente/tema,link_notaTaquigráfica
2021-04-27,01,primeira sessão,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9956
2021-04-29,02,requerimentos,www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9968a
2021-05-04,03,Luiz Henrique Mandetta e Nelson Teich,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9972
2021-05-05,04,Nelson Teich,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9973
2021-05-06,05,Marcelo Queiroga e Antonio Barra Torres,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9975
2021-05-11,06,Antonio Barra Torres,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9984
2021-05-12,07,Fabio Wajngarten,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9985
2021-05-13,08,Carlos Murillo,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9987
2021-05-18,09,Ernesto Araújo,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9995
2021-05-19,10,Eduardo Pazuelo,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9996
2021-05-25,11,Mayra Pinheiro,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9999
2021-05-26,12,deliberativa,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10005
2021-05-27,13,Dimas Tadeu Covas,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10007
2021-06-01,14,Nise Yamaguchi,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10018
2021-06-02,15,Luana Araújo,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10022
2021-06-08,16,Marcelo Queiroga,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10030
2021-06-09,17,Antônio Elcio Franco,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10031
2021-06-10,18,Wilson Lima,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10032
2021-06-11,19,Natalia Pasternak e Cláudio Maierovitch,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10033
2021-06-15,20,Marcellus Campêlo,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10041
2021-06-16,21,Wilson Witzel,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10042
2021-06-17,22,Carlos Wizard,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10043
2021-06-18,23,Ricardo Ariel Zimerman e Francisco Eduardo Cardoso Alves,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10045
2021-06-22,24,Osmar Terra,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10051
2021-06-23,25,apreciação de requerimentos,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10052
2021-06-24,26,Jurema Werneck e Pedro Hallal,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10053
2021-06-25,27,Luis Ricardo Fernandes Miranda e deputado Federal Luis Claudio Fernandes Miranda,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10054
2021-06-29,28,Deputado Estadual do Amazonas Fausto Vieira dos Santos Junior,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10066
2021-06-30,29,Carlos Wizard Martins,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10067
2021-07-01,30,Luiz Paulo Dominguetti Pereira,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10068
2021-07-06,31,Regina Célia Silva Oliveira,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078
2021-07-07,32,Roberto Ferreira Dias,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10079
2021-07-08,33,Francieli Fontana,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10088
2021-07-09,34,William Amorim Santana,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10091
2021-07-13,35,Emanuela Medrades,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10093
2021-07-14,36,Emanuela Medrades,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10094
2021-07-15,37,Cristiano Carvalho,www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10095
2021-08-03,38,Amilton Gomes de Paula,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10111
2021-08-04,39,Coronel Marcelo Blanco da Costa,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10112
2021-08-05,40,Airton Antônio Soligo,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10113
2021-08-10,41,Helcio Bruno de Almeida,http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10137
2021-08-11,42,Jailton Batista,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10138
2021-08-12,43,Ricardo Barros,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10139

